ID,TITLE,LINK,BUTTON_TEXT,TEXT,DATES,LOCATION,EVENTABLE,HTML_ID,PDF_ID
,"The Charisma Machine: The Life, Death, and Legacy of One Laptop per Child with Morgan Ames",https://citris-uc.us2.list-manage.com/track/click?u=78285230b179f5fc2a6bcbbb3&id=4c4d29be65&e=2a237c259b,NO_BUTTON,"Ames will discuss her book The Charisma Machine, named Best Information Science Book of 2020, to explore the life and legacy of the One Laptop per Child project and explain why—despite its failures—the same utopian visions that inspired OLPC still motivate other projects trying to use technology to “disrupt.” Announced in 2005 by MIT Media Lab cofounder Nicholas Negroponte, One Laptop per Child promised to transform the lives of children across the Global South. Even as the project fell short in many ways, it remained charismatic to many who were enchanted by its claims of a global transformation. Drawing on archival research and an ethnographic study of a model OLPC project, Ames offers a cautionary tale about the allure of technology hype and the problems that result when utopian dreams drive technology development.<br><br>Join Morgan Ames on Wednesday February 24, 2021 from 12:00 pm to 1:00 pm via Zoom!",20210224/20210224,24-Feb-21,Zoom,,
,"Labor and Automation in California Agriculture: Equity, Productivity, & Resilience with Tom Harmon",https://citris-uc.us2.list-manage.com/track/click?u=78285230b179f5fc2a6bcbbb3&id=57549493c4&e=2a237c259b,NO_BUTTON,"An agricultural revolution driven by automation, big data, and artificial intelligence is upon us. This presentation will introduce an exciting new research effort being undertaken by an interdisciplinary team from the University of California Merced, Berkeley, Davis, and Riverside campuses and UC Agriculture and Natural Resources. California is an agriculturally rich state, yet its food system remains vulnerable to climate change, regulatory change, water availability, labor shortages, and unexpected disturbances. We know that automation improves efficiency. However, to create a sustainable California agri-food system, we must create a new model for agricultural technology (AgTech) design. This new design paradigm support more and better food while creating a vibrant future for workers and a healthy environment for future generations. <br><br>Join Thomas Harmon on Wednesday February 17, 2021 from 12:00 pm to 1:00 pm via Zoom!",20210217/20210217,17-Feb-21,Zoom,,
,CITRIS Research Exchange with Sara-Jayne Terp,https://citris-uc.us2.list-manage.com/track/click?u=78r285230b179f5fc2a6bcbbb3&id=f59cccab22&e=2a237c259b,NO_BUTTON,"Sara-Jayne Terp is a data enthusiast with a long history of working on the hardest data problems she can find. Her background includes designing unmanned vehicle systems, transport, intelligence and disaster data systems with an emphasis on how humans and autonomous systems work together; developing crowdsourced advocacy tools, managing innovations, teaching data science to Columbia’s international development students, designing probabilistic network algorithms, working as a pyrotechnician, and CTO of the UN’s big data team. <br><br> Join Sara-Jayne Terp on Wednesday February 10, 2021 from 12:00 pm to 1:00 pm via Zoom!",20210210/20210210,10-Feb-21,Zoom,,
,CITRIS Research Exchange with Cristina Davis,https://citris-uc.us2.list-manage.com/track/click?u=78285230b179f5fc2a6bcbbb3&id=1bdb95af30&e=2a237c259b,NO_BUTTON,"Professor Davis works at the interface of mechanical design, data analytics and chemistry. She designs and implements cutting-edge chemical sensor systems to solve real-world problems and enable trace chemical detection in challenging environments. Her research group is diverse and interdisciplinary in composition and in research. Researchers from engineering, chemistry and computer science have a wide array of activity that ranges from novel sensor development to systems integration, to basic chemistry studies to discover novel biomarkers of significance. Her research has broad applications in human and animal health monitoring, as well as in agriculture. Her award-winning work has impacted many user communities, and she has spun off two UC Davis-affiliated startup companies from her research to commercialize the work.<br><br>Join Cristina Davis on Wednesday February 3, 2021 from 12:00 pm to 1:00 pm via Zoom!",20210203/20210203,3-Feb-21,Zoom,,
ucanrwaterwebinar,UC ANR Water Webinar,pdfs\UCANRWATERWEBINAR.pdf,NO_BUTTON,Join Dr. Colleen C. Naughton on January 15th from 3-4 pm as she describes how nitrate contamination of groundwater in California relates to thyroid cancer incidence in the Central Valley. These maps and analysis will help inform the public and policy leaders of the types of health-related concerns in relation to water pollution in California and where to target interventions.,20210115/20210115,15-Jan-21,https://ucmerced.zoom.us/j/93722796133?pwd=a2FsKzBTUGVtOEovSTNVanRSNjZMdz09;,,
,The Alignment Problem: Machine Learning and Human Values with Brian Christian,https://citris-uc.us2.list-manage.com/track/click?u=78285230b179f5fc2a6bcbbb3&id=af4c9bb2f7&e=2a237c259b,NO_BUTTON,"With the incredible growth of machine learning over recent years has come an increasing concern about whether ML systems' objectives truly capture their human designers' intent: the so-called 'alignment problem.' Over the last five years, these questions of both ethics and safety have moved from the margins of the field to become arguably its most central concerns. <br><br>Join Brian Christian on Wednesday January 27, 2021 from 12:00 pm to 1:00 pm via Zoom!",20210127/20210127,27-Jan-21,Zoom,,
,"COVID-19 and climate change mitigation, and adaptation",https://aeespconvergingcovid19.org/,https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos,"The goal of this virtual conference, “Converging COVID-19, environment, health, and equity,” is to bring together different disciplines of environmental engineering and science (water, wastewater, air, food, waste, built environment) plus equity and climate change to discuss actions needed to form &quot;a healthy, just and equitable society.&quot;  <br><br>This conference will be held from 12:00-1:30 pm ET on November 20th, 2020. It will combine asynchronous ~3 minute videos produced on each speaker’s research, and shared on the <a href=https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos>Association of Environmental Engineering and Science Professors’ (AEESP) YouTube Channel</a>, and a professionally hosted synchronous 90 minute moderated, interactive webinar that is streamed live via YouTube.",20201120/20201120,20-Nov-20,https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos,,
,UC ANR Water Webinar,https://ucmerced.zoom.us/j/93722796133?pwd=a2FsKzBTUGVtOEovSTNVanRSNjZMdz09,NO_BUTTON,"Dr. Angel Santiago Fernandez Bou will present SGMA related work titled 'A Glass Half Empty & Underrepresented, underserved, understudied' in the Monthly Water PT Webinar Series on Friday 11/20 at 3pm. <br> Join the Webinar on <a href=https://ucmerced.zoom.us/j/93722796133?pwd=a2FsKzBTUGVtOEovSTNVanRSNjZMdz09>zoom</a> <br> Passcode: 92837",20201120/20201120,20-Nov-20,https://ucmerced.zoom.us/j/93722796133?pwd=a2FsKzBTUGVtOEovSTNVanRSNjZMdz09,,
,CITRIS COVID-19 Response Seed Award Outcomes Panel,https://berkeley.zoom.us/webinar/register/WN_jzOTOTk-RjqLGWnJD92dbw?utm_source=CITRIS+Announcements&utm_campaign=3e85b24b38-CITRIS_Research_Exchange_Fall_2020&utm_medium=email&utm_term=0_92ad2a0544-3e85b24b38-332138289&mc_cid=3e85b24b38&mc_eid=2a237c259b,NO_BUTTON,"Speakers: Coming Soon<br/><br/>Join us Wednesday November 18, 2020 from 12:00 pm to 1:00 pm via Zoom!",20201118/20201118,18-Nov-20,Zoom,,
,COVID-19 and fostering informed decisions and actions,https://aeespconvergingcovid19.org/,https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos,"The goal of this virtual conference, “Converging COVID-19, environment, health, and equity,” is to bring together different disciplines of environmental engineering and science (water, wastewater, air, food, waste, built environment) plus equity and climate change to discuss actions needed to form &quot;a healthy, just and equitable society.&quot;  <br><br>This conference will be held from 12:00-1:30 pm ET on October 23rd, 2020. It will combine asynchronous ~3 minute videos produced on each speaker’s research, and shared on the <a href=https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos>Association of Environmental Engineering and Science Professors’ (AEESP) YouTube Channel</a>, and a professionally hosted synchronous 90 minute moderated, interactive webinar that is streamed live via YouTube.",20201023/20201023,23-Oct-20,https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos,,
,COVID-19 and designing a future without pollution and waste,https://aeespconvergingcovid19.org/,https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos,"The goal of this virtual conference, “Converging COVID-19, environment, health, and equity,” is to bring together different disciplines of environmental engineering and science (water, wastewater, air, food, waste, built environment) plus equity and climate change to discuss actions needed to form &quot;a healthy, just and equitable society.&quot;  <br><br>This conference will be held from 12:00-1:30 pm ET on November 13th, 2020. It will combine asynchronous ~3 minute videos produced on each speaker’s research, and shared on the <a href=https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos>Association of Environmental Engineering and Science Professors’ (AEESP) YouTube Channel</a>, and a professionally hosted synchronous 90 minute moderated, interactive webinar that is streamed live via YouTube.",20201113/20201113,13-Nov-20,https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos,,
,Blockchain for the Public Good,https://berkeley.zoom.us/webinar/register/WN_TxnKMK87T-SyFdjmNqsguw?utm_source=CITRIS+Announcements&utm_campaign=3e85b24b38-CITRIS_Research_Exchange_Fall_2020&utm_medium=email&utm_term=0_92ad2a0544-3e85b24b38-332138289&mc_cid=3e85b24b38&mc_eid=2a237c259b,NO_BUTTON,"Speakers: Brian Behlendorf (Executive Director, Hyperledger), Ben Bartlett (Partner, Tackett Bartlett LLP), and Michele Benedetto Neitz (Professor of Law, Golden Gate University School of Law). Moderated by Camille Crittenden, Ph.D., Executive Director of CITRIS and the Banatao Institute.<br/><br/>This talk will draw on the panelists' expertise in the fundamental computer science and security concerns of blockchain, its applications for public finance, and ethical considerations of its development. We will also discuss the experience of working with a broad group of stakeholders to create a roadmap for policymakers, CIOs and other leaders considering blockchain solutions for public sector applications.<br/><br/>Join us Wednesday October 28, 2020 from 12:00 pm to 1:00 pm via Zoom!",20201028/20201028,28-Oct-20,Zoom,,
,"COVID-19 and the creation of efficient, healthy and resilient cities",https://aeespconvergingcovid19.org/,https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos,"The goal of this virtual conference, “Converging COVID-19, environment, health, and equity,” is to bring together different disciplines of environmental engineering and science (water, wastewater, air, food, waste, built environment) plus equity and climate change to discuss actions needed to form &quot;a healthy, just and equitable society.&quot;  <br><br>This conference will be held from 12:00-1:30 pm ET on October 30th, 2020. It will combine asynchronous ~3 minute videos produced on each speaker’s research, and shared on the <a href=https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos>Association of Environmental Engineering and Science Professors’ (AEESP) YouTube Channel</a>, and a professionally hosted synchronous 90 minute moderated, interactive webinar that is streamed live via YouTube.",20201030/20201030,30-Oct-20,https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos,,
,Scientific Natural Language Processing and the Fight Against COVID-19,https://berkeley.zoom.us/webinar/register/WN_-isL05ShS9m8anjpHwzFTQ?utm_source=CITRIS+Announcements&utm_campaign=3e85b24b38-CITRIS_Research_Exchange_Fall_2020&utm_medium=email&utm_term=0_92ad2a0544-3e85b24b38-332138289&mc_cid=3e85b24b38&mc_eid=2a237c259b,NO_BUTTON,"Speaker: Oren Etizioni, Chief Executive Officer, Allen Institute for AI<br/><br/>This talk will describe the dramatic creation of the COVID-19 Open Research Dataset (CORD-19) and the broad range of efforts, both inside and outside of the Semantic Scholar project, to garner insights into COVID-19 and its treatment based on this growing corpus of research papers.<br/><br/>Join us Wednesday November 4, 2020 from 12:00 pm to 1:00 pm via Zoom!",20201104/20201104,4-Nov-20,Zoom,,
,"COVID-19 and sustainably supplying food, water, and energy COVID-19",https://aeespconvergingcovid19.org/,https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos,"The goal of this virtual conference, “Converging COVID-19, environment, health, and equity,” is to bring together different disciplines of environmental engineering and science (water, wastewater, air, food, waste, built environment) plus equity and climate change to discuss actions needed to form &quot;a healthy, just and equitable society.&quot;  <br><br>This conference will be held from 12:00-1:30 pm ET on November 6th, 2020. It will combine asynchronous ~3 minute videos produced on each speaker’s research, and shared on the <a href=https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos>Association of Environmental Engineering and Science Professors’ (AEESP) YouTube Channel</a>, and a professionally hosted synchronous 90 minute moderated, interactive webinar that is streamed live via YouTube.",20201106/20201106,6-Nov-20,https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos,,
,CITRIS Research Exchange with Gabe Youtsey,https://citris-uc.us2.list-manage.com/track/click?u=78285230b179f5fc2a6bcbbb3&id=7690d1cc5b&e=2a237c259b,NO_BUTTON,"SPEAKER: Gabe Youtsey, Chief Innovation Officer, UC Agriculture, and Natural Resources<br/><br/>Join us Wednesday October 21, 2020 from 12:00 pm to 1:00 pm via Zoom!",20201021/20201021,21-Oct-20,Zoom,,
convergingcovid1,"COVID-19, systemic biases, and environmental engineering education",https://aeespconvergingcovid19.org/,https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos,"The goal of this virtual conference, “Converging COVID-19, environment, health, and equity,” is to bring together different disciplines of environmental engineering and science (water, wastewater, air, food, waste, built environment) plus equity and climate change to discuss actions needed to form &quot;a healthy, just and equitable society.&quot;  <br><br>This conference will be held from 12:00-1:30 pm ET on October 16th, 2020. It will combine asynchronous ~3 minute videos produced on each speaker’s research, and shared on the <a href=https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos>Association of Environmental Engineering and Science Professors’ (AEESP) YouTube Channel</a>, and a professionally hosted synchronous 90 minute moderated, interactive webinar that is streamed live via YouTube.",20201016/20201016,16-Oct-20,https://www.youtube.com/channel/UCmlGaQ6wmFZbbrvdG4hZ2BA/videos,,
,Medical Management in Epilepsy - A Journey into the Unknown,https://berkeley.zoom.us/webinar/register/WN_nOc1hi7fSUaM1XMoWmUDog?utm_source=CITRIS+Announcements&utm_campaign=3e85b24b38-CITRIS_Research_Exchange_Fall_2020&utm_medium=email&utm_term=0_92ad2a0544-3e85b24b38-332138289&mc_cid=3e85b24b38&mc_eid=2a237c259b,NO_BUTTON,"Speaker: Rachel Kuperman, Founder and CEO, Eysz Lab<br/><br/>Neuroscience has made tremendous leaps and bounds in the last three decades. Sadly, the outcomes for people with epilepsy have not changed significantly with costs more than tripling to 28 billion dollars per year. Why the big divide between research and clinical care? We will explore the barriers to translation and adoption of new technologies in the clinic.<br/><br/>Join us Wednesday October 14, 2020 from 12:00 pm to 1:00 pm via Zoom!",20201014/20201014,14-Oct-20,Zoom,,
lovelace2020,Ada Lovelace Day 2020 Celebration of Women in Robotics,https://www.eventbrite.com/e/ada-lovelace-day-2020-celebration-of-women-in-robotics-tickets-124178783083,NO_BUTTON,"Every year on Ada Lovelace Day we celebrate amazing robotics innovations powered by women, and meet some of the amazing women themselves! The evening will start with a short slide show of the 2020 &quot;30 women in robotics you need to know about&quot; list from Women in Robotics Organization, which will be published at 7am PDT on Oct 13. We're pleased to announce that our 2020 event will be moderated by one of our 2019 keynote speakers Jasmine Lawrence and other speakers include:<br><br>•Dr Ayanna Howard, Chair of Interactive Computing Georgia Tech<br>•Dr Carlotta Berry, Professor of Electrical and Computer Engineering Rose-Hulman Institute of Technology<br>•Angelique Taylor, PhD Candidate at the Healthcare Robotics Lab in UCSD and Facebook Research Intern<br>•Dr Ariel Anders, First Technical Hire at Robust.ai<br>•Jasmine Lawrence, Product Manager at X, the Moonshot Factory",20201013/20201013,13-Oct-20,Zoom,,
,CITRIS Research Exchange with Kamal Jethwani,https://citris-uc.us2.list-manage.com/track/click?u=78285230b179f5fc2a6bcbbb3&id=abc54afe75&e=2a237c259b,NO_BUTTON,"Speaker: Kamal Jethwani, Co-Founder and Chief Product and Technology Officer, Decimal.health<br/><br/>Dr. Jethwani is a digital health, technology and healthcare transformation strategist. With an entrepreneurial approach, he has built and expanded digital innovation at the Harvard-affiliated academic medical centers to transform care delivery and research across a range of provider networks.<br/><br/>Join us Wednesday October 7, 2020 from 12:00 pm to 1:00 pm via Zoom!",20201007/20201007,7-Oct-20,Zoom,,
zhack2020,Z Hacks 2020,https://zhacks.devpost.com/,https://zhacks.devpost.com/,"CITRIS is sponsoring the Z Hacks 2020 event—a hackathon for everyone. No coding experience needed. Z Hacks is for any kind of project, art, code, song, story. Cash prizes for social justice, pandemic, environment, contrast community and more. Register to attend 9/15 or 9/17.",20200919/20200919,19-Sep-20,Zoom,,
,Creating Positive Feedback Loops to Accelerate the Energy Transition,https://berkeley.zoom.us/webinar/register/WN_HTVW2eJ3Tmud6tAT0n7sbg?utm_source=CITRIS+Announcements&utm_campaign=3e85b24b38-CITRIS_Research_Exchange_Fall_2020&utm_medium=email&utm_term=0_92ad2a0544-3e85b24b38-332138289&mc_cid=3e85b24b38&mc_eid=2a237c259b,NO_BUTTON,"Speaker: Sarah Kurtz, Professor, Materials Science and Engineering (MSE), UC Merced<br/><br/>Photovoltaic solar electricity has grown much faster than was expected. Continuation of the historical growth rate would enable solar to generate as much electricity as the entire world uses by ~ 2030. This talk will discuss how positive feedback loops can help accelerate the energy transition by taking a balanced approach. The talk will also discuss how choices we make in designing our new energy system can reduce or increase the size of the problem.<br/><br/>Join us Wednesday September 23, 2020 from 12:00 pm to 1:00 pm via Zoom!",20200923/20200923,23-Sep-20,Zoom,,
,"Data, Global Challenges, and Planetary Management",https://berkeley.zoom.us/webinar/register/WN_2GijK8qAQWe6Wheqs38mMQ?utm_source=CITRIS+Announcements&utm_campaign=3e85b24b38-CITRIS_Research_Exchange_Fall_2020&utm_medium=email&utm_term=0_92ad2a0544-3e85b24b38-332138289&mc_cid=3e85b24b38&mc_eid=2a237c259b,NO_BUTTON,"Speaker: Sol Hsiang, Professor, Goldman School of Public Policy, UC Berkeley<br/><br/>Solomon Hsiang directs the Global Policy Laboratory at UC Berkeley, where researchers are integrating econometrics, spatial data science, and machine learning to answer questions that are central to managing planetary resources. He will discuss their work and its impact on policy-making, including the economics of climate change, UN treaties that govern ecosystems, applying machine learning to global satellite imagery, and responses to the COVID-19 pandemic.<br/><br/>Join us Wednesday September 30, 2020 from 12:00 pm to 1:00 pm via Zoom!",20200930/20200930,30-Sep-20,Zoom,,
,Inclusive Workforce Strategies: Enhancing the Future of Public Sector Work,https://citris-uc.us2.list-manage.com/track/click?u=78285230b179f5fc2a6bcbbb3&id=6f6e8adf50&e=2a237c259b,NO_BUTTON,"Speakers: Elana Zeide (PULSE Fellow in Artificial Intelligence, Law & Policy, UCLA), Saurabh Sanghvi (Associate Partner, McKinsey & Company), and Scott Mauvais (Director of AI & Global Partnerships, Microsoft Philanthropies). Moderated by Brandie Nonnecke, CITRIS Policy Lab Director.<br/><br/>In collaboration with Microsoft, the Center for Information Technology Research in the Interest of Society (CITRIS) and the Banatao Institute will host a CITRIS Research Exchange panel to explore the effects of emerging technologies, like machine learning-powered decision systems and robotic process automation, within three public service sectors: education, social services, and law enforcement.<br/><br/>Join us Wednesday September 9, 2020 from 12:00 pm to 1:00 pm via Zoom!",20200909/20200909,9-Sep-20,Zoom,,
,The New Era of University-Industry Alliances,https://berkeley.zoom.us/webinar/register/WN_tG58uZZ2TfSYuwz3g4MBEg?utm_source=CITRIS+Announcements&utm_campaign=3e85b24b38-CITRIS_Research_Exchange_Fall_2020&utm_medium=email&utm_term=0_92ad2a0544-3e85b24b38-332138289&mc_cid=3e85b24b38&mc_eid=2a237c259b,NO_BUTTON,"Speaker: Karina Edmonds, VP Academies & University Alliances, SAP<br/><br/>Karina is the global lead for Academies and University Alliances at SAP. Prior to joining SAP, Karina lead University Relations for Google Cloud and served as Executive Director for Corporate Partnerships at the California Institute of Technology (Caltech). With over 20 years in innovation, technology transfer, and commercialization, Karina has received numerous national recognitions and awards. Notably, working under President Barack Obama's administration as the first Technology Transfer Coordinator at the US Department of Energy and served as a member of the White House Speaker Bureau to promote STEM careers to women and girls.<br/><br/>Join us Wednesday September 16, 2020 from 12:00 pm to 1:00 pm via Zoom!",20200916/20200916,16-Sep-20,Zoom,,
sciencehumanities,Science for Humanity Series,https://ccbm.ucmerced.edu/sites/ccbm.ucmerced.edu/files/documents/roberto_c_andresen_eguiluz_05.20.2020.pdf,NO_BUTTON,"NSF-CREST Center for Cellular and Biomolecular Machines is very pleased to host Prof. Roberto C. Andresen Eguiluz (CCBM faculty affiliate in Materials Science and Engineering) for a virtual Science for Humanity Series session entitled 'Acute Respiratory Distress Syndrome in the Context of COVID' on Wednesday, May 20, 1:00-1:45PM via Zoom. Register now.",20200520/20200520,20-May-20,,,
i2gbanner,Innovate to Grown Partnership,https://www.eventbrite.com/e/innovate-to-grow-spring-2020-registration-98034729515,NO_BUTTON,"Our program, Tech for Social Good, is partnering with Innovate to Grow to showcase student projects in which they developed solutions for societal problems. Join us on Zoom on Friday, May 15th from 12PM-2:30PM. Register now.",20200515/20200515,15-May-20,,,
lumiata2020,Lumiata Global AI Hackathon,https://www.lumiata.com/hackathoncovid19.html,NO_BUTTON,"As we face the most severe global health crisis many of us will see in our lifetime, we recognize the role AI can play in addressing challenges posed by COVID-19. Participants will develop solutions that address the challenges this pandemic poses to citizens of the world today and for the impact it will have in the future. Register now.",20200417/20200501,17-Apr-20,,,
seedfundcovid,Seed Funding - COVID-19 Response,https://citris-uc.org/core-seed-funding/,https://citris.smapply.org/prog/citris_COVID-19_response/,"Given the unprecedented circumstances and disruptions related to the COVID-19 pandemic, CITRIS and the Banatao Institute are soliciting information technology-driven proposals that aim to address the threat across a range of applications. Up to $50,000 available per project. Application Deadline: Friday, April 24, 2020 at 5PM",20200424/20200424,24-Apr-20,"University of California, Merced",,
FIT_Kimmelshue,Frontiers In Technology Speaker - Joel Kimmelshue,https://www.linkedin.com/in/joel-kimmelshue-phd-cpss-1560238/,NO_BUTTON,"Our upcoming Frontiers in Technology Speaker, Joel Kimmelshue, will present on the importance of comprehensive ground truthing to ensure accuracy for both the remotely sensed agricultural land use mapping and crop consumed water estimates and will deliver through Zoom on April 24 from 12PM to 1PM.",20200424/20200424,24-Apr-20,Zoom ID: 924-923-181,,
centralvalley-geosummit,10th Annual Central Valley Geosummit,https://libcal.ucmerced.edu/event/5971014,NO_BUTTON,This event has been postponed.,20200403/20200403,3-Apr-20,UC Merced KL 355,,
ruraljusticesummit,Rural Justice Summit,https://www.ruraljusticesummit.org/,NO_BUTTON,Rural Justice Summit has been postponed.,20200313/20200314,,"University of California, Merced",,
cyberawareday2020,Cyber Aware Day 2020,http://cyberaware.ucmerced.edu/,https://www.eventbrite.com/e/90412872335,Cyber Aware Day has been cancelled.,20200311/20200312,20200311T150000,"University of California, Merced",,
crafter-2020,CRAFTER Executive Roundtable,,,"'A focus on the Farm Future' CITRIS research on Ag-Food-Tech Executive Roundtable will occur on Friday, March 6,2020 at KKL 232",,,,,
melba-crawford,Frontiers In Technology Speaker - Melba Crawford,NO_BUTTON,NO_BUTTON,"Upcoming Frontiers in Technology Speaker, Melba Crawford, will discuss sensing technologies and will take place on March 6th, from 12PM to 1PM at COB2 140.",,,,,
hackmercedv,HackMerced V,http://hackmerced.io/,NO_BUTTON,"HackMerced is a 36-hour annual programming competition that occurs at the University of California, Merced and is open to students from all over the world. This event will take place on February 28th to March 1st, participants will collaborate in teams and attend workshops to learn about new technologies. Register is now open.",,,,,
aging-digitalworld,Aging in a Digital World Conference,https://citris-uc.org/aging-in-a-digital-world-call-for-poster-abstracts/,,"The Aging in a Digital World conference is focused on identifying gaps in research, technology, and policy that are delaying the adoption of innovations to support aging in a digital world. We seek poster abstracts on topics related to the conference’s subject matter of aging, technology, and health care policy research.",,,,,
baker-julie,Frontiers In Technology Speaker - Julie Baker,NO_BUTTON,,"In this TALK, Julie Baker will deliver a technical talk about Ursa Space System and is set to come to UC Merced on Friday, February 7th from 12PM to 1PM at COB2 140. Complimentary lunch on a first come, first served basis.",,,,,
tsgkickoff,Tech for Social Good Kickoff,tech-for-social-good.html,,"Come join us in COB2 140 on Friday, January 31st from 3PM - 5PM for the Tech for Social Good KickOff. It is a student-led tech project program for all undergraduate students. *No coding experience required.*",,,,,
wildandscenicfilmfest,Wild and Scenic Film Festival,https://centerforhumanities.ucmerced.edu/events/wild-scenic-film-festival-1,,Come out to experience the Wild and Scenic Film Festival this Friday (1/31) starting 7PM at the Merced Multicultural Arts Center! It's free and open to the public!,,,,,
coleman-exchange,Victoria Coleman presenting at CITRIS Research Exchange,https://citris-uc.org/event/citris-research-exchange-victoria-coleman/,,"Launched in 2008,CITRIS Research Exchange delivers fresh perspectives on information technology and society from distinguished academic, industry, and civic leaders. CITRIS Research Exchange is free and open to the public. Each one-hour seminar starts at 12 pm and is hosted at the Banatao Auditorium in Sutardja Dai Hall on the UC Berkeley campus unless otherwise noted. Register by the Monday prior to the event to receive lunch.",,,,,
cyber-aware-2019,2019 CyberAware Day!,http://www.sjsu.edu/cybersecurity/events/cyberaware/,,CyberAware Day is a unique event hosted in partnership between UC Merced and San Jos?? State University to raise awareness around the cyber security sector and related opportunities for students of all backgrounds. Join an awesome line-up of speakers and industry experts who know first-hand that everybody belongs in security and hear their stories of how they found their way into cyber security. You???ll have an opportunity to also interact directly with like-minded companies who know the value of diversity. The event is organized by SJSU Silicon Valley Center of Global Studies (SVCGS) and Silicon Valley Big Data & CyberSecurity Center (SVBDCC).,,,,,
research-exchange,San Joaquin Valley???s Irma Olguin presenting at CITRIS Research Exchange,https://citris-uc.org/event/citris-research-exchange-irma-olguin-jr,,"Launched in 2008, CITRIS Research Exchange delivers fresh perspectives on information technology and society from distinguished academic, industry, and civic leaders. CITRIS Research Exchange is free and open to the public. Each one-hour seminar starts at 12 pm and is hosted at the Banatao Auditorium in Sutardja Dai Hall on the UC Berkeley campus unless otherwise noted. Register by the Monday prior to the event to receive lunch.",,,,,
lisa-yeo-exchange,UC Merced's Lisa Yeo presenting at CITRIS Research Exchange,https://citris-uc.org/event/citris-research-exchange-lisa-yeo,,"Launched in 2008, CITRIS Research Exchange delivers fresh perspectives on information technology and society from distinguished academic, industry, and civic leaders. CITRIS Research Exchange is free and open to the public. Each one-hour seminar starts at 12 pm and is hosted at the Banatao Auditorium in Sutardja Dai Hall on the UC Berkeley campus unless otherwise noted. Register by the Monday prior to the event to receive lunch.",,,,,
Extension-Course-Spring-2019,,,,,,,,,
FITSpeaker_2019,,,,,,,,,
ag-tech-2019,,,,,,,,,
hackmerced-2019,,,,,,,,,
cyberaware-day-2018,,,,,,,,,
frontiers-information-technology-speaker-series-chandrakant-patel,,,,,,,,,
mobile-app-challenge-2018,,,,,,,,,
consequences-of-groundwater-sustainability,,,,,,,,,
frontiers-information-technology-speaker-series-mark-palatucci,,,,,,,,,
wild-scenic-film-festival,,,,,,,,,
frontiers-information-technology-speaker-series-brandie-nonnecke,,,,,,,,,
cyberaware-day-2017,,,,,,,,,
data-analytics-in-energy,,,,,,,,,
frontiers-information-technology-speaker-series-james-gosling,,,,,,,,,
citris-research-exchange-seminar-series,,,,,,,,,
research-in-computer-vision-and-robotics,,,,,,,,,
frontiers-information-technology-speaker-series-david-merrill,,,,,,,,,
yosemite-forum,,,,,,,,,
womens-entrepreneurship-conference,,,,,,,,,
agtech-day-2017,,,,,,,,,
entrepreneurship-and-climate-change-sue-carter,,,,,,,,,
windows-brain-guillermo-aguilar,,,,,,,,,
mobile-app-challenge-2016,,,,,,,,,
international-petition-against-autonomous-weapons-stuart-russell,,,,,,,,,
tale-two-lakes-interaction-science-society-and-development-environmental-policy,,,,,,,,,
paul-scerri-sense-platypus,,,,,,,,,
dale-dougherty-make,,,,,,,,,
combating-cybercrime-parisa-tabriz,,,,,,,,,
agtech-day-2016,,,,,,,,,
web-systems-florian-michahelles,,,,,,,,,
tackling-urban-challenges-technology-scott-mauvais,,,,,,,,,
satellite-observations-epic-california-drought-realities-21st-century-water-sustainability,,,,,,,,,
innovations-earthquake-preparedness,,,,,,,,,
connected-critical-care-jason-adams,,,,,,,,,
towards-inclusive-and-participatory-design-process-elizabeth-goodman,,,,,,,,,
advances-digital-medicine-george-savage,,,,,,,,,
ibm-research-africa,,,,,,,,,
bringing-ai-out-lab-and-peoples-lives,,,,,,,,,
technology-tools-data-mapping-analysis-visualization-and-collaboration,,,,,,,,,
transforming-social-services-data-science,,,,,,,,,
bay-area-robotics-symposium-2015,,,,,,,,,
innovations-renewable-energy,,,,,,,,,
using-cutting-edge-technology-beat-back-invasive-species,,,,,,,,,
